year_tallied,state,counts
2011-01-01,Virginia,40
2011-01-01,Washington,73
2011-01-01,West Virginia,15
2011-01-01,Wisconsin,24
2011-01-01,Wyoming,1
2012-01-01,Alabama,13
2012-01-01,Alaska,11
2012-01-01,Arizona,10
2012-01-01,Arkansas,2
2012-01-01,California,208
2012-01-01,Colorado,15
2012-01-01,Connecticut,42
2012-01-01,Delaware,7
2012-01-01,Florida,37
2012-01-01,Georgia,12
2012-01-01,Hawaii,12
2012-01-01,Idaho,5
2012-01-01,Illinois,138
2012-01-01,Indiana,24
2012-01-01,Iowa,15
2012-01-01,Kansas,11
2012-01-01,Kentucky,21
2012-01-01,Louisiana,8
2012-01-01,Maine,3
2012-01-01,Maryland,38
2012-01-01,Massachusetts,52
2012-01-01,Michigan,82
2012-01-01,Minnesota,49
2012-01-01,Mississippi,6
2012-01-01,Missouri,52
2012-01-01,Montana,5
2012-01-01,Nebraska,6
2012-01-01,Nevada,28
2012-01-01,New Hampshire,4
2012-01-01,New Jersey,120
2012-01-01,New Mexico,13
2012-01-01,New York,208
2012-01-01,North Carolina,13
2012-01-01,North Dakota,1
2012-01-01,Ohio,71
2012-01-01,Oklahoma,3
2012-01-01,Oregon,25
2012-01-01,Pennsylvania,128
2012-01-01,Rhode Island,13
2012-01-01,South Carolina,6
2012-01-01,South Dakota,3
2012-01-01,Tennessee,9
2012-01-01,Texas,48
2012-01-01,Utah,6
2012-01-01,Vermont,4
2012-01-01,Virginia,18
2012-01-01,Washington,63
2012-01-01,West Virginia,13
2012-01-01,Wisconsin,24
2012-01-01,Wyoming,1
2013-01-01,Alabama,13
2013-01-01,Alaska,7
2013-01-01,Arizona,13
2013-01-01,Arkansas,3
2013-01-01,California,197
2013-01-01,Colorado,12
2013-01-01,Connecticut,44
2013-01-01,Delaware,7
2013-01-01,Florida,43
2013-01-01,Georgia,21
2013-01-01,Hawaii,17
2013-01-01,Idaho,5
2013-01-01,Illinois,126
2013-01-01,Indiana,39
2013-01-01,Iowa,15
2013-01-01,Kansas,11
2013-01-01,Kentucky,12
2013-01-01,Louisiana,10
2013-01-01,Maine,12
2013-01-01,Maryland,35
2013-01-01,Massachusetts,58
2013-01-01,Michigan,55
2013-01-01,Minnesota,40
2013-01-01,Mississippi,9
2013-01-01,Missouri,35
2013-01-01,Montana,4
2013-01-01,Nebraska,2
2013-01-01,Nevada,29
2013-01-01,New Hampshire,4
2013-01-01,New Jersey,95
2013-01-01,New Mexico,4
2013-01-01,New York,224
2013-01-01,North Carolina,7
2013-01-01,North Dakota,1
2013-01-01,Ohio,65
2013-01-01,Oklahoma,4
2013-01-01,Oregon,29
2013-01-01,Pennsylvania,136
2013-01-01,Rhode Island,12
2013-01-01,South Carolina,14
2013-01-01,South Dakota,5
2013-01-01,Tennessee,11
2013-01-01,Texas,50
2013-01-01,Utah,5
2013-01-01,Vermont,6
2013-01-01,Virginia,37
2013-01-01,Washington,52
2013-01-01,West Virginia,14
2013-01-01,Wisconsin,24
2013-01-01,Wyoming,2
2014-01-01,Alabama,10
2014-01-01,Alaska,15
2014-01-01,Arizona,12
2014-01-01,Arkansas,6
2014-01-01,California,235
2014-01-01,Colorado,19
2014-01-01,Connecticut,36
2014-01-01,Delaware,7
2014-01-01,Florida,44
2014-01-01,Georgia,22
2014-01-01,Hawaii,13
2014-01-01,Idaho,4
2014-01-01,Illinois,136
2014-01-01,Indiana,36
2014-01-01,Iowa,10
2014-01-01,Kansas,10
2014-01-01,Kentucky,22
2014-01-01,Louisiana,5
2014-01-01,Maine,3
2014-01-01,Maryland,57
2014-01-01,Massachusetts,48
2014-01-01,Michigan,68
2014-01-01,Minnesota,42
2014-01-01,Mississippi,17
2014-01-01,Missouri,30
2014-01-01,Montana,8
2014-01-01,Nebraska,8
2014-01-01,Nevada,29
2014-01-01,New Hampshire,5
2014-01-01,New Jersey,96
2014-01-01,New Mexico,18
2014-01-01,New York,204
2014-01-01,North Carolina,11
2014-01-01,North Dakota,4
2014-01-01,Ohio,66
2014-01-01,Oklahoma,13
2014-01-01,Oregon,20
2014-01-01,Pennsylvania,112
2014-01-01,Rhode Island,8
2014-01-01,South Carolina,9
2014-01-01,Tennessee,14
2014-01-01,Texas,57
2014-01-01,Utah,2
2014-01-01,Vermont,5
2014-01-01,Virginia,24
2014-01-01,Washington,64
2014-01-01,West Virginia,20
2014-01-01,Wisconsin,33
2014-01-01,Wyoming,2
2015-01-01,Alabama,13
2015-01-01,Alaska,11
2015-01-01,Arizona,21
2015-01-01,Arkansas,6
2015-01-01,California,260
2015-01-01,Colorado,12
2015-01-01,Connecticut,38
2015-01-01,Delaware,5
2015-01-01,Florida,49
2015-01-01,Georgia,25
2015-01-01,Hawaii,19
2015-01-01,Idaho,9
2015-01-01,Illinois,137
2015-01-01,Indiana,27
2015-01-01,Iowa,12
2015-01-01,Kansas,17
2015-01-01,Kentucky,34
2015-01-01,Louisiana,4
2015-01-01,Maine,6
