state,counts
Alabama,2
Arizona,1
California,70
Colorado,3
Hawaii,2
Illinois,18
Indiana,1
Kansas,1
Kentucky,2
Maine,1
Maryland,2
Massachusetts,4
Michigan,7
Minnesota,8
Missouri,4
New Jersey,1
New York,9
North Carolina,2
Ohio,3
Oklahoma,1
Oregon,3
Pennsylvania,8
Rhode Island,1
South Carolina,1
Tennessee,1
Texas,5
Vermont,1
Virginia,2
Washington,14
West Virginia,2
Wisconsin,3
