State Name,State ID,%Mem22,%Mem21,%Mem20,%Mem19,%Mem18,%Mem17,%Mem16,%Mem15,%Mem14,%Mem13,%Mem12,%Mem11,%Mem10,%Mem09,%Mem08
Rhode Island,15,16.1,15.9,17.9,17.5,17.4,16.1,15.5,14.2,15.1,16.9,17.9,17.4,16.4,18.0,16.6
South Carolina,57,1.7,1.7,2.9,2.2,2.8,2.6,1.6,2.1,2.2,3.7,3.3,3.4,4.7,4.5,3.9
South Dakota,45,3.1,4.0,4.3,5.7,5.7,5.5,5.3,6.0,5.0,4.9,5.7,5.2,5.7,5.6,5.1
Tennessee,62,5.5,5.2,4.4,4.6,5.5,5.7,5.8,5.5,5.1,6.2,4.8,4.6,4.7,5.1,5.5
Texas,74,4.1,3.8,4.9,4.1,4.3,4.7,4.0,4.5,4.9,4.8,5.7,5.3,5.5,5.2,4.5
Utah,87,3.9,3.5,3.6,4.4,4.1,4.0,4.6,4.0,3.7,4.0,5.1,5.8,6.6,7.0,5.8
Vermont,13,12.1,12.6,12.0,11.4,10.6,11.2,11.6,12.7,11.2,11.1,10.9,12.2,12.0,12.5,10.5
Virginia,54,3.7,4.8,4.4,4.0,4.3,4.7,4.3,5.5,4.9,5.0,4.5,4.6,4.7,4.8,4.1
Washington,91,18.0,19.6,18.0,19.4,20.4,19.3,17.8,17.2,17.1,19.2,18.8,19.3,19.8,20.6,20.1
West Virginia,55,9.2,9.7,10.7,10.2,10.1,11.1,11.9,12.6,10.6,12.8,12.0,13.9,14.8,13.9,13.8
Wisconsin,35,7.1,8.0,8.8,8.2,8.2,8.4,8.2,8.4,11.6,12.4,11.4,13.5,14.3,15.4,15.1
Wyoming,83,5.6,5.9,7.8,7.4,6.6,6.1,6.4,7.3,6.8,5.7,6.9,7.3,7.4,7.9,8.0
